Subgroup,Phase,Time Period,Time Period Start Date,Time Period End Date,Value,Low CI,High CI
United States,1,1,2020-04-23,2020-05-05,43.7,43.1,44.3
18 - 29 years,1,1,2020-04-23,2020-05-05,40.8,38.3,43.4
30 - 39 years,1,1,2020-04-23,2020-05-05,41.8,40.1,43.5
40 - 49 years,1,1,2020-04-23,2020-05-05,45.6,44.0,47.2
50 - 59 years,1,1,2020-04-23,2020-05-05,46.0,44.5,47.5
60 - 69 years,1,1,2020-04-23,2020-05-05,46.4,44.8,48.1
70 - 79 years,1,1,2020-04-23,2020-05-05,42.2,40.4,44.1
80 years and above,1,1,2020-04-23,2020-05-05,35.6,30.7,40.8
Male,1,1,2020-04-23,2020-05-05,40.1,39.1,41.2
Female,1,1,2020-04-23,2020-05-05,47.1,46.1,48.1
Hispanic or Latino,1,1,2020-04-23,2020-05-05,41.3,39.0,43.6
"Non-Hispanic White, single race",1,1,2020-04-23,2020-05-05,44.6,44.0,45.3
"Non-Hispanic Black, single race",1,1,2020-04-23,2020-05-05,42.5,40.3,44.8
"Non-Hispanic Asian, single race",1,1,2020-04-23,2020-05-05,37.8,34.5,41.2
"Non-Hispanic, other races and multiple races",1,1,2020-04-23,2020-05-05,49.2,45.6,52.8
Less than a high school diploma,1,1,2020-04-23,2020-05-05,40.9,36.0,46.0
High school diploma or GED,1,1,2020-04-23,2020-05-05,39.4,38.0,40.8
Some college/Associate's degree,1,1,2020-04-23,2020-05-05,44.7,43.6,45.9
Bachelor's degree or higher,1,1,2020-04-23,2020-05-05,47.6,46.7,48.5
Alabama,1,1,2020-04-23,2020-05-05,42.0,36.8,47.3
Alaska,1,1,2020-04-23,2020-05-05,46.8,42.8,50.8
Arizona,1,1,2020-04-23,2020-05-05,42.3,38.9,45.7
Arkansas,1,1,2020-04-23,2020-05-05,43.6,37.7,49.7
California,1,1,2020-04-23,2020-05-05,44.4,41.1,47.8
Colorado,1,1,2020-04-23,2020-05-05,46.0,42.6,49.5
Connecticut,1,1,2020-04-23,2020-05-05,42.6,38.5,46.9
Delaware,1,1,2020-04-23,2020-05-05,41.4,36.2,46.8
District of Columbia,1,1,2020-04-23,2020-05-05,47.0,41.3,52.7
Florida,1,1,2020-04-23,2020-05-05,44.9,41.8,48.0
Georgia,1,1,2020-04-23,2020-05-05,45.9,42.0,49.7
Hawaii,1,1,2020-04-23,2020-05-05,41.2,36.1,46.4
Idaho,1,1,2020-04-23,2020-05-05,38.8,34.7,43.0
Illinois,1,1,2020-04-23,2020-05-05,42.5,39.5,45.6
Indiana,1,1,2020-04-23,2020-05-05,39.4,35.1,43.9
Iowa,1,1,2020-04-23,2020-05-05,40.0,34.3,45.8
Kansas,1,1,2020-04-23,2020-05-05,40.0,34.9,45.2
Kentucky,1,1,2020-04-23,2020-05-05,42.9,37.8,48.1
Louisiana,1,1,2020-04-23,2020-05-05,46.2,41.0,51.4
Maine,1,1,2020-04-23,2020-05-05,45.8,41.4,50.4
Maryland,1,1,2020-04-23,2020-05-05,49.2,45.0,53.4
Massachusetts,1,1,2020-04-23,2020-05-05,42.8,39.4,46.3
Michigan,1,1,2020-04-23,2020-05-05,44.6,41.3,48.0
Minnesota,1,1,2020-04-23,2020-05-05,45.2,41.3,49.1
Mississippi,1,1,2020-04-23,2020-05-05,39.6,34.9,44.6
Missouri,1,1,2020-04-23,2020-05-05,43.7,39.1,48.4
Montana,1,1,2020-04-23,2020-05-05,46.0,40.4,51.7
Nebraska,1,1,2020-04-23,2020-05-05,38.5,33.5,43.7
Nevada,1,1,2020-04-23,2020-05-05,46.2,41.5,51.0
New Hampshire,1,1,2020-04-23,2020-05-05,43.2,39.6,47.0
New Jersey,1,1,2020-04-23,2020-05-05,43.0,38.5,47.7
New Mexico,1,1,2020-04-23,2020-05-05,44.1,38.8,49.6
New York,1,1,2020-04-23,2020-05-05,45.2,41.6,48.8
North Carolina,1,1,2020-04-23,2020-05-05,40.1,36.5,43.7
North Dakota,1,1,2020-04-23,2020-05-05,33.2,28.6,38.0
Ohio,1,1,2020-04-23,2020-05-05,42.1,38.0,46.3
Oklahoma,1,1,2020-04-23,2020-05-05,46.6,41.2,52.1
Oregon,1,1,2020-04-23,2020-05-05,47.4,43.3,51.4
Pennsylvania,1,1,2020-04-23,2020-05-05,42.9,39.5,46.4
Rhode Island,1,1,2020-04-23,2020-05-05,44.2,38.9,49.6
South Carolina,1,1,2020-04-23,2020-05-05,44.6,39.7,49.6
South Dakota,1,1,2020-04-23,2020-05-05,45.5,39.3,51.9
Tennessee,1,1,2020-04-23,2020-05-05,42.9,38.6,47.2
Texas,1,1,2020-04-23,2020-05-05,40.6,37.2,44.0
Utah,1,1,2020-04-23,2020-05-05,43.3,39.2,47.4
Vermont,1,1,2020-04-23,2020-05-05,48.5,43.8,53.2
Virginia,1,1,2020-04-23,2020-05-05,47.0,43.3,50.8
Washington,1,1,2020-04-23,2020-05-05,47.7,44.7,50.8
West Virginia,1,1,2020-04-23,2020-05-05,43.7,38.4,49.0
Wisconsin,1,1,2020-04-23,2020-05-05,45.3,41.7,49.0
Wyoming,1,1,2020-04-23,2020-05-05,39.3,34.3,44.5
United States,1,2,2020-05-07,2020-05-12,45.5,44.4,46.7
18 - 29 years,1,2,2020-05-07,2020-05-12,43.4,39.3,47.6
30 - 39 years,1,2,2020-05-07,2020-05-12,45.1,42.9,47.2
40 - 49 years,1,2,2020-05-07,2020-05-12,46.8,44.5,49.1
50 - 59 years,1,2,2020-05-07,2020-05-12,49.5,47.0,52.1
60 - 69 years,1,2,2020-05-07,2020-05-12,44.2,41.3,47.1
70 - 79 years,1,2,2020-05-07,2020-05-12,41.3,38.6,44.0
80 years and above,1,2,2020-05-07,2020-05-12,47.8,42.2,53.5
Male,1,2,2020-05-07,2020-05-12,42.2,40.4,44.1
Female,1,2,2020-05-07,2020-05-12,48.7,47.5,49.8
Hispanic or Latino,1,2,2020-05-07,2020-05-12,40.7,36.5,44.9
"Non-Hispanic White, single race",1,2,2020-05-07,2020-05-12,46.4,45.4,47.3
"Non-Hispanic Black, single race",1,2,2020-05-07,2020-05-12,48.7,44.5,52.9
"Non-Hispanic Asian, single race",1,2,2020-05-07,2020-05-12,37.1,32.0,42.4
"Non-Hispanic, other races and multiple races",1,2,2020-05-07,2020-05-12,56.2,50.9,61.5
Less than a high school diploma,1,2,2020-05-07,2020-05-12,38.1,31.9,44.5
High school diploma or GED,1,2,2020-05-07,2020-05-12,40.7,38.1,43.3
Some college/Associate's degree,1,2,2020-05-07,2020-05-12,48.6,46.8,50.5
Bachelor's degree or higher,1,2,2020-05-07,2020-05-12,48.9,47.7,50.1
Alabama,1,2,2020-05-07,2020-05-12,44.4,36.3,52.8
Alaska,1,2,2020-05-07,2020-05-12,47.6,42.4,52.8
Arizona,1,2,2020-05-07,2020-05-12,50.9,45.0,56.9
Arkansas,1,2,2020-05-07,2020-05-12,43.2,35.6,51.0
California,1,2,2020-05-07,2020-05-12,42.5,38.2,46.8
Colorado,1,2,2020-05-07,2020-05-12,46.7,40.1,53.4
Connecticut,1,2,2020-05-07,2020-05-12,45.5,37.6,53.7
Delaware,1,2,2020-05-07,2020-05-12,43.1,36.3,50.1
District of Columbia,1,2,2020-05-07,2020-05-12,46.0,38.6,53.5
Florida,1,2,2020-05-07,2020-05-12,44.5,39.2,49.8
Georgia,1,2,2020-05-07,2020-05-12,53.0,46.5,59.3
Hawaii,1,2,2020-05-07,2020-05-12,43.8,35.9,51.9
Idaho,1,2,2020-05-07,2020-05-12,39.8,34.3,45.4
Illinois,1,2,2020-05-07,2020-05-12,45.8,40.0,51.6
Indiana,1,2,2020-05-07,2020-05-12,48.9,42.9,54.9
Iowa,1,2,2020-05-07,2020-05-12,42.9,37.0,48.9
Kansas,1,2,2020-05-07,2020-05-12,40.1,33.3,47.3
Kentucky,1,2,2020-05-07,2020-05-12,48.1,42.1,54.1
Louisiana,1,2,2020-05-07,2020-05-12,50.0,41.9,58.2
Maine,1,2,2020-05-07,2020-05-12,50.7,43.2,58.2
Maryland,1,2,2020-05-07,2020-05-12,44.5,39.0,50.1
Massachusetts,1,2,2020-05-07,2020-05-12,42.2,38.7,45.7
Michigan,1,2,2020-05-07,2020-05-12,44.8,40.1,49.6
Minnesota,1,2,2020-05-07,2020-05-12,47.3,41.8,52.9
Mississippi,1,2,2020-05-07,2020-05-12,41.0,34.4,47.8
Missouri,1,2,2020-05-07,2020-05-12,41.0,35.3,46.9
Montana,1,2,2020-05-07,2020-05-12,53.8,47.5,60.1
Nebraska,1,2,2020-05-07,2020-05-12,48.8,42.6,55.1
Nevada,1,2,2020-05-07,2020-05-12,49.4,41.9,56.8
New Hampshire,1,2,2020-05-07,2020-05-12,46.0,40.0,52.1
New Jersey,1,2,2020-05-07,2020-05-12,48.8,42.8,54.8
New Mexico,1,2,2020-05-07,2020-05-12,45.8,36.8,54.9
New York,1,2,2020-05-07,2020-05-12,49.1,42.8,55.4
North Carolina,1,2,2020-05-07,2020-05-12,45.7,40.5,50.9
North Dakota,1,2,2020-05-07,2020-05-12,43.7,35.1,52.6
Ohio,1,2,2020-05-07,2020-05-12,45.0,39.1,51.1
Oklahoma,1,2,2020-05-07,2020-05-12,41.3,34.1,48.8
Oregon,1,2,2020-05-07,2020-05-12,56.5,51.8,61.2
Pennsylvania,1,2,2020-05-07,2020-05-12,45.9,40.4,51.5
Rhode Island,1,2,2020-05-07,2020-05-12,46.2,39.7,52.7
South Carolina,1,2,2020-05-07,2020-05-12,45.7,38.8,52.7
South Dakota,1,2,2020-05-07,2020-05-12,41.3,32.6,50.4
Tennessee,1,2,2020-05-07,2020-05-12,47.2,39.0,55.4
Texas,1,2,2020-05-07,2020-05-12,39.7,34.9,44.7
Utah,1,2,2020-05-07,2020-05-12,39.2,34.5,44.0
Vermont,1,2,2020-05-07,2020-05-12,47.1,37.6,56.7
Virginia,1,2,2020-05-07,2020-05-12,50.4,44.1,56.6
Washington,1,2,2020-05-07,2020-05-12,50.9,46.4,55.5
West Virginia,1,2,2020-05-07,2020-05-12,45.6,38.4,53.0
Wisconsin,1,2,2020-05-07,2020-05-12,46.6,39.4,54.0
Wyoming,1,2,2020-05-07,2020-05-12,44.8,37.5,52.2
United States,1,3,2020-05-14,2020-05-19,44.8,44.0,45.6
18 - 29 years,1,3,2020-05-14,2020-05-19,41.0,38.9,43.2
30 - 39 years,1,3,2020-05-14,2020-05-19,44.2,42.3,46.2
40 - 49 years,1,3,2020-05-14,2020-05-19,45.7,43.7,47.7
50 - 59 years,1,3,2020-05-14,2020-05-19,48.7,47.0,50.5
60 - 69 years,1,3,2020-05-14,2020-05-19,46.6,44.5,48.7
70 - 79 years,1,3,2020-05-14,2020-05-19,41.0,38.0,44.2
80 years and above,1,3,2020-05-14,2020-05-19,43.7,37.9,49.6
