Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range
"Delayed or Did Not Get Care, Last 4 Weeks",National Estimate,United States,United States,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,43.7,43.1,44.3,43.1 - 44.3,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,18 - 29 years,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,40.8,38.3,43.4,38.3 - 43.4,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,30 - 39 years,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,41.8,40.1,43.5,40.1 - 43.5,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,40 - 49 years,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,45.6,44.0,47.2,44.0 - 47.2,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,50 - 59 years,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,46.0,44.5,47.5,44.5 - 47.5,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,60 - 69 years,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,46.4,44.8,48.1,44.8 - 48.1,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,70 - 79 years,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,42.2,40.4,44.1,40.4 - 44.1,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,80 years and above,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,35.6,30.7,40.8,30.7 - 40.8,
"Delayed or Did Not Get Care, Last 4 Weeks",By Gender,United States,Male,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,40.1,39.1,41.2,39.1 - 41.2,
"Delayed or Did Not Get Care, Last 4 Weeks",By Gender,United States,Female,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,47.1,46.1,48.1,46.1 - 48.1,
"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,41.3,39.0,43.6,39.0 - 43.6,
"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",1,1,Apr 23 - May 5,2020-04-23,2020-05-05,44.6,44.0,45.3,44.0 - 45.3,
"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",1,1,Apr 23 - May 5,2020-04-23,2020-05-05,42.5,40.3,44.8,40.3 - 44.8,
